WeekDate,climate change matches,corporate governance matches,ESG matches,social responsibility matches,sustainability matches
2016-02-15,1303.0,67.0,33.0,1364.0,433.0
2016-02-22,1495.0,45.0,37.0,1290.0,347.0
2016-02-29,1603.0,45.0,39.0,1180.0,383.0
2016-03-07,1320.0,53.0,42.0,1379.0,347.0
2016-03-14,1644.0,66.0,40.0,1441.0,471.0
2016-03-21,1389.0,43.0,47.0,1475.0,368.0
2016-03-28,1092.0,21.0,46.0,1148.0,344.0
2016-04-04,1460.0,71.0,41.0,1148.0,420.0
2016-04-11,1721.0,81.0,27.0,1273.0,392.0
2016-04-18,2101.0,106.0,56.0,1055.0,556.0
2016-04-25,1413.0,67.0,27.0,1174.0,404.0
2016-05-02,1447.0,43.0,30.0,1056.0,256.0
2016-05-09,1161.0,63.0,18.0,1222.0,385.0
2016-05-16,1457.0,46.0,25.0,1294.0,280.0
2016-05-23,1363.0,97.0,38.0,1406.0,355.0
2016-05-30,1421.0,36.0,16.0,1287.0,295.0
2016-06-06,1204.0,37.0,39.0,1056.0,349.0
2016-06-13,1123.0,51.0,19.0,1172.0,288.0
2016-06-20,1586.0,38.0,35.0,1122.0,275.0
2016-06-27,1343.0,51.0,26.0,1195.0,259.0
2016-07-04,986.0,24.0,31.0,1329.0,266.0
2016-07-11,1224.0,46.0,25.0,1480.0,277.0
2016-07-18,1168.0,58.0,12.0,1539.0,292.0
2016-07-25,1726.0,48.0,22.0,1420.0,284.0
2016-08-01,1205.0,61.0,18.0,1147.0,268.0
2016-08-08,1355.0,30.0,20.0,1221.0,258.0
2016-08-15,1327.0,40.0,25.0,1210.0,288.0
2016-08-22,1449.0,50.0,30.0,1244.0,338.0
2016-08-29,1741.0,42.0,35.0,1080.0,285.0
2016-09-05,1369.0,43.0,45.0,944.0,305.0
2016-09-12,1362.0,41.0,36.0,1070.0,263.0
2016-09-19,1447.0,64.0,19.0,1471.0,371.0
2016-09-26,1825.0,41.0,20.0,1258.0,385.0
2016-10-03,1847.0,19.0,22.0,1011.0,284.0
2016-10-10,1732.0,43.0,30.0,928.0,290.0
2016-10-17,1317.0,82.0,27.0,1170.0,360.0
2016-10-24,1498.0,39.0,27.0,1198.0,303.0
2016-10-31,1632.0,34.0,22.0,1140.0,313.0
2016-11-07,2024.0,40.0,20.0,1020.0,290.0
2016-11-14,2060.0,70.0,29.0,1126.0,241.0
2016-11-21,1850.0,29.0,29.0,979.0,227.0
2016-11-28,1659.0,79.0,20.0,988.0,272.0
2016-12-05,2037.0,28.0,28.0,1086.0,255.0
2016-12-12,2324.0,35.0,22.0,1156.0,259.0
2016-12-19,1206.0,22.0,20.0,1170.0,255.0
2016-12-26,1286.0,11.0,20.0,1029.0,209.0
2017-01-02,1610.0,34.0,25.0,1504.0,195.0
2017-01-09,2048.0,43.0,32.0,1175.0,370.0
2017-01-16,2749.0,68.0,18.0,1459.0,374.0
2017-01-23,2498.0,70.0,25.0,1505.0,343.0
2017-01-30,1678.0,47.0,52.0,1225.0,314.0
2017-02-06,1462.0,39.0,21.0,1128.0,308.0
2017-02-13,1342.0,48.0,28.0,979.0,264.0
2017-02-20,1495.0,49.0,24.0,848.0,362.0
2017-02-27,1747.0,35.0,57.0,1126.0,343.0
2017-03-06,1770.0,35.0,41.0,1219.0,372.0
2017-03-13,1746.0,58.0,47.0,1110.0,333.0
2017-03-20,1746.0,55.0,47.0,1265.0,379.0
2017-03-27,2259.0,55.0,55.0,1103.0,348.0
2017-04-03,1394.0,33.0,48.0,1113.0,307.0
2017-04-10,1447.0,49.0,34.0,1156.0,352.0
2017-04-17,1697.0,42.0,38.0,1352.0,436.0
2017-04-24,2051.0,60.0,42.0,1204.0,406.0
2017-05-01,1440.0,40.0,47.0,1150.0,432.0
2017-05-08,1706.0,53.0,47.0,962.0,432.0
2017-05-15,1213.0,59.0,36.0,1078.0,334.0
2017-05-22,2108.0,83.0,34.0,1424.0,251.0
2017-05-29,3733.0,49.0,30.0,1202.0,329.0
2017-06-05,2323.0,36.0,30.0,1182.0,305.0
2017-06-12,1613.0,113.0,36.0,1178.0,270.0
2017-06-19,1437.0,85.0,44.0,1098.0,289.0
2017-06-26,1581.0,39.0,38.0,1065.0,278.0
2017-07-03,1993.0,21.0,45.0,1112.0,245.0
2017-07-10,2193.0,31.0,53.0,942.0,285.0
2017-07-17,1597.0,25.0,76.0,1247.0,254.0
2017-07-24,1262.0,23.0,78.0,845.0,252.0
2017-07-31,1345.0,39.0,53.0,1186.0,246.0
2017-08-07,1847.0,43.0,59.0,1083.0,308.0
2017-08-14,1464.0,74.0,59.0,1416.0,271.0
2017-08-21,1375.0,35.0,63.0,1016.0,319.0
2017-08-28,1304.0,34.0,49.0,1127.0,267.0
2017-09-04,1496.0,30.0,46.0,1014.0,199.0
2017-09-11,2096.0,36.0,53.0,966.0,277.0
2017-09-18,1718.0,51.0,41.0,1025.0,346.0
2017-09-25,1187.0,69.0,55.0,994.0,337.0
2017-10-02,1542.0,59.0,76.0,1173.0,292.0
2017-10-09,1691.0,61.0,54.0,1110.0,278.0
2017-10-16,1307.0,30.0,63.0,1376.0,298.0
2017-10-23,1679.0,50.0,70.0,1038.0,312.0
2017-10-30,1710.0,27.0,47.0,1008.0,235.0
2017-11-06,1596.0,40.0,53.0,820.0,249.0
2017-11-13,1407.0,71.0,64.0,1116.0,287.0
2017-11-20,1187.0,43.0,42.0,1010.0,272.0
2017-11-27,1074.0,46.0,55.0,1138.0,252.0
2017-12-04,1196.0,32.0,45.0,949.0,230.0
2017-12-11,1656.0,43.0,37.0,1093.0,241.0
2017-12-18,1435.0,53.0,36.0,902.0,210.0
2017-12-25,1224.0,37.0,36.0,1005.0,213.0
2018-01-01,1362.0,40.0,30.0,974.0,198.0
2018-01-08,1621.0,17.0,41.0,948.0,227.0
2018-01-15,1580.0,37.0,28.0,1196.0,237.0
2018-01-22,1495.0,50.0,44.0,1107.0,355.0
2018-01-29,1274.0,39.0,42.0,1000.0,301.0
2018-02-05,1210.0,54.0,27.0,940.0,302.0
2018-02-12,1200.0,36.0,48.0,1117.0,306.0
